beta,suscettivita,delta_suscettivita
0.43,71.21491131248968,0.3561110566090776
0.4487,19.985290269375966,0.5356741609523653
0.38,11.072227457904003,0.05865349366852131
0.445,29.73786291509981,0.5838146543947006
0.455,9.339488572227417,0.22400651752813583
0.4409,45.997617809264035,0.6915630248843382
0.4225,59.206807926069736,0.2516713745407427
0.4325,70.1467907621677,0.5320490976400211
0.39,14.98570610097502,0.08224162781160098
0.436,63.82693634255592,0.633814575991469
0.42,52.92671000248974,0.21101006337662628
0.4675,3.3958295999870103,0.12320442353512474
0.475,2.14153532518484,0.04167670059823335
0.49,1.0990662275400354,0.01071557622079348
0.4403,49.278739471975186,0.7694044295038655
0.5,0.7624094575273688,0.005334464507696125
0.4075,29.547015290289714,0.149313404739377
0.4175,47.02683946070776,0.22178673707253987
0.4,21.379910326799,0.11975643323395009
0.41,32.95734651344374,0.18053022384733253
0.51,0.5716725502578512,0.0037826437981856582
0.4399,50.674456932097556,0.7795783089600171
0.4395,50.656692749387574,0.7009673144086684
0.48,1.6900439034440495,0.039330157495924035
0.4401,48.99645908305761,0.8129124392332229
0.435,65.72763169873772,0.5915555958892214
0.425,64.49895989884398,0.25396546634892403
0.4462,26.965936870298002,0.6504599898438747
0.4437,36.17685018237795,0.7517104249141681
0.4525,12.829846964779712,0.37298794090909776
0.4425,40.16621157331084,0.7232466783597044
0.4475,22.96389086949784,0.4988709034204488
0.4575,7.373362217279933,0.22264357414343242
0.485,1.341271696577806,0.012129322013890014
0.439,53.13197153862417,0.7609193137622017
0.36,6.835492455787752,0.03655623149449442
0.44,49.78970215582965,0.8140443447380392
0.405,26.363379227677754,0.14505676654105992
0.465,4.098351882875839,0.21764908153331014
0.37,8.547746778470996,0.05002702406954426
0.438,57.703500012399985,0.8322809348297372
0.45,17.29435711276377,0.48814451025995487
0.4125,37.40455113046771,0.19315546427560507
0.4025,23.678611758438983,0.1302354184195356
0.4406,47.07350543804374,0.7549329065263811
0.415,41.763232069910984,0.2295815616735399
0.47,2.7659175129747027,0.034112607083559045
0.4625,4.810484213787625,0.12723262871475946
0.395,17.77488128044376,0.08847042657847927
0.4402,48.92790973068975,0.7172429328003762
0.385,12.938596256758991,0.06820072051645798
0.4375,58.68109412709997,0.6693554235596918
0.4275,69.13290718337493,0.2787705959838979
0.4412,44.837482951109564,0.7673835518109482
0.4398,49.32934504655595,0.6953122402270945
0.46,5.666153218363945,0.14475552576380044
