beta,suscettivita,delta_suscettivita
0.4175,21.411888057756002,0.078326868312934
0.4,16.19759312441601,0.05756538953096226
0.5,0.7643361749749555,0.008894529383517084
0.4075,18.845559713084015,0.0706418455820934
0.49,1.102941017711112,0.01957432696795685
0.4403,14.053640237375964,0.12652554807074484
0.48,1.668711234364162,0.02832326243133766
0.425,20.962346467038962,0.1028551747977757
0.4401,14.253375368390998,0.12976105776826924
0.435,17.186235287104033,0.11063771685744517
0.4462,10.572901938558887,0.10922385777162434
0.4437,12.002535483350973,0.11586253657997567
0.4425,12.830055710064014,0.12578572667212773
0.4525,7.430854351343852,0.12050077139247277
0.51,0.5702765439360213,0.006434548101435227
0.41,19.606878275163975,0.06849249265813187
0.4399,14.326049178496024,0.1327131010054777
0.4395,14.521985394711013,0.11699449254404638
0.38,10.058524378910999,0.04324121796599877
0.455,6.557592339355933,0.08716075449853965
0.445,11.13962533836399,0.11873342440682011
0.4409,13.708527991975107,0.11158595510325321
0.4325,18.445186892284006,0.12802765462297325
0.4225,21.356800318976,0.08977699022801368
0.43,19.446497204558977,0.10142695174147652
0.4487,9.324729960710965,0.10382707112193557
0.42,21.39360574360001,0.08189747503261416
0.4675,3.1259817662561584,0.05395051114450698
0.475,2.135992207343884,0.037419996870975664
0.39,12.831251299974989,0.05573567041948434
0.436,16.676654151518978,0.11511711944511174
0.395,14.393643868399991,0.06358862546202722
0.4402,14.095127035263989,0.11162313992774596
0.415,20.890976609563992,0.0771516888394414
0.47,2.801657761975118,0.04765365894703504
0.4625,4.21727510847596,0.05978821366911863
0.4398,14.368422415963988,0.11628749912670264
0.46,4.89098421203904,0.0863328028267289
0.385,11.337645977600005,0.047693545806982714
0.4275,20.449724224304,0.09442090764439139
0.4375,15.728905993974895,0.12476026901288696
0.4412,13.609809356399971,0.11968119322957271
0.439,14.73041140753606,0.11835844990009482
0.36,6.541516073399,0.03298633698292534
0.44,14.133291209599985,0.11731551877335643
0.4575,5.653603638335936,0.07647921316221631
0.4475,9.947202523679,0.10778108392128821
0.485,1.393328320943965,0.02348244640227093
0.4406,13.992568778543957,0.1193316305733178
0.405,18.080168707003985,0.061221603523614596
0.465,3.692064001119011,0.05703434163981901
0.37,8.015225367535992,0.03805804990672315
0.438,15.248514017600012,0.11179682032561691
0.4025,17.11944931075901,0.05680723307547157
0.45,8.65698879644401,0.09890248719949318
0.4125,20.363251853696053,0.0704373690343367
