beta,magnetizzazione,delta_magnetizzazione
0.475,0.865631088,0.00010848774189657493
0.4675,0.84416676,0.0001400156501965981
0.42,0.23271103199999998,0.0010320063371892993
0.436,0.514989608,0.0018846245101235546
0.39,0.105183696,0.00027859545690393637
0.4225,0.25980629599999994,0.0011662989829549892
0.4325,0.4371634720000001,0.001789502879859108
0.4409,0.6213648880000001,0.0016484831576393407
0.445,0.691415984,0.001369500533933149
0.455,0.7864365520000001,0.0007571357578263337
0.38,0.089454888,0.0002621506476328023
0.4487,0.736236912,0.0008301653813261315
0.43,0.380913288,0.0016402704767417991
0.4525,0.770674992,0.0005630417594245667
0.4425,0.651693104,0.0014284262083682402
0.4437,0.670512392,0.001344426119711069
0.4462,0.707245264,0.0013099186124855785
0.435,0.49583640799999995,0.0020327794713261866
0.4401,0.6095956479999999,0.0015756114389612237
0.425,0.292342336,0.0011886038268113745
0.48,0.8776366320000001,9.61610972674543e-05
0.4395,0.593877432,0.0017049015888539077
0.4399,0.6029693679999999,0.0017647304357332923
0.41,0.16430461600000001,0.0005806628006329359
0.51,0.9232005440000001,6.049519406029325e-05
0.5,0.9112793359999999,6.475947153589264e-05
0.4075,0.15286795199999997,0.00047513553785090727
0.4175,0.21168035200000002,0.0007919463651058482
0.4,0.127835176,0.00038339924652028154
0.49,0.89652008,7.565697641752177e-05
0.4403,0.6083635919999999,0.0017128579665247718
0.4406,0.6183664080000002,0.0018195605923130567
0.45,0.7502933839999999,0.0007144737235888267
0.4125,0.17657674399999995,0.0006696247192015328
0.4025,0.13449381599999996,0.0004182128972819941
0.438,0.5595555999999999,0.0021043155017644245
0.37,0.078060664,0.00020879148642806027
0.465,0.834989536,0.00017219127802107728
0.405,0.143443536,0.00044726856781423445
0.44,0.6051311279999999,0.0018295324317944412
0.36,0.069926712,0.00017515050573949437
0.439,0.585944912,0.001800208365106017
0.485,0.887519728,7.954395586265695e-05
0.4475,0.723835392,0.0009736405962494845
0.4575,0.802083368,0.00027478429920715415
0.46,0.814611648,0.00021080336698752112
0.4398,0.600003536,0.0016850170465235112
0.4412,0.630113912,0.001377310992462809
0.4375,0.5467346319999999,0.002415735430690434
0.4275,0.33281609599999995,0.0015472128256625343
0.385,0.096406904,0.00029342288124138244
0.4402,0.610004656,0.0017510010481635834
0.395,0.11517713599999999,0.00032552588214320474
0.4625,0.8254638960000001,0.00019476271336570737
0.47,0.8518682,0.00015586225477391466
0.415,0.191838272,0.0006911619111937729
