beta,capacita,delta_capacita
0.4395,9.461147021413874,0.04467528706950007
0.4399,9.522058964686764,0.04825311187834327
0.51,2.524508994477115,0.01184284497953576
0.41,6.46732212390615,0.033598231067552366
0.4425,8.982330269438688,0.048659773357489854
0.4525,7.127024879750188,0.039318619571543714
0.4437,8.8474362780397,0.046469500172326254
0.4462,8.284963285304636,0.05005694502231677
0.425,8.992878486711732,0.046105432596845825
0.435,9.755308318694134,0.044972386139948015
0.4401,9.423049732610611,0.04535167003910135
0.48,3.945349871651116,0.020636071658092604
0.49,3.3470729129220445,0.01692095240175208
0.4403,9.370263032283788,0.0463502560820657
0.4175,7.652042539258286,0.034519972208076954
0.4,5.5668099354769796,0.028603890396932386
0.5,2.9090356607266443,0.01449758956961369
0.4075,6.286938394057073,0.03629283034458145
0.436,9.78951528476344,0.04990191686652276
0.39,5.014496028691395,0.02467141025771712
0.475,4.337476112473482,0.023479727021483147
0.4675,5.025596710445601,0.026494803517376764
0.42,8.092679590829466,0.040706949785722105
0.4487,7.802975628467168,0.04376593212165265
0.43,9.738653431416422,0.044085335278153656
0.4325,9.905172098863302,0.04482478324863151
0.4225,8.556087919209808,0.04130723877254864
0.4409,9.373787751312834,0.04517062619450583
0.455,6.684123667945707,0.04422056029525911
0.445,8.591595205488822,0.04403100785215805
0.38,4.639105827083112,0.021991696026333815
0.4412,9.21661875297728,0.04369230053973736
0.4275,9.368863851902232,0.0426903530644089
0.4375,9.724122152121971,0.04446094025056628
0.385,4.789207686492403,0.02402661118873549
0.46,5.928115867219086,0.02989046106807654
0.4398,9.493383471974415,0.0452515687591473
0.4625,5.608608523090686,0.029100269658946312
0.47,4.804264919833567,0.027687318516632135
0.415,7.220010744274208,0.0372127577894231
0.4402,9.447432861005378,0.04583834491528479
0.395,5.324657569494362,0.02518955168907384
0.4025,5.763148315968691,0.028554568755440074
0.45,7.548158593906695,0.045118485445426675
0.4125,6.808296584123297,0.037310448619025785
0.438,9.671856733464178,0.042141604243571676
0.37,4.311242506361557,0.02440386238447947
0.465,5.277184185364758,0.03037995061125266
0.405,6.038794055036112,0.0339408027792545
0.4406,9.368378854807746,0.05177481444095668
0.485,3.64695320315791,0.018104088888438213
0.4575,6.254073505556246,0.038044227670831016
0.4475,8.122663074588088,0.044863941761932716
0.44,9.459126521361805,0.04821460555748813
0.36,4.099628943917322,0.01905041110025033
0.439,9.545421689710532,0.0507601639596577
