beta,magnetizzazione,delta_magnetizzazione
0.43,0.4390571375,0.0014858664460964423
0.4487,0.7394858,0.000893603500054854
0.38,0.1120641,0.00030637633145865265
0.445,0.6997757500000001,0.0009795690160619023
0.455,0.7882379125000001,0.0004427393384539783
0.4409,0.6398661,0.0012630897492657374
0.4225,0.3182742375,0.0012485611710139311
0.4325,0.4856477875,0.0015886683333088396
0.39,0.13184262499999996,0.00031973293568859587
0.436,0.55114905,0.0015491068906231063
0.42,0.2885647375,0.0008985520937695646
0.4675,0.8440000875000002,0.00020175480041821763
0.475,0.8658775999999998,0.00014940921962114083
0.49,0.8965191124999999,9.03213438828091e-05
0.4403,0.6285201249999999,0.0013810469063679173
0.5,0.9113645875,7.89650753315911e-05
0.4075,0.19276213750000007,0.0005468101095195624
0.4175,0.2628060875,0.0008513939533066801
0.4,0.15926622499999998,0.000445531351515576
0.41,0.20544831249999998,0.0006596207592230913
0.51,0.9232554625,6.769353036201967e-05
0.4399,0.6219606625,0.001581411735118323
0.4395,0.6174857125000001,0.001293699211537063
0.48,0.8774776874999999,0.00012299739879989587
0.4401,0.6263173375000001,0.0015074551265092185
0.435,0.5345594625000001,0.0016395341037059616
0.425,0.35283665000000003,0.001249168931755954
0.4462,0.7123256624999998,0.0009619295290341631
0.4437,0.6796116624999999,0.0012389183486305334
0.4525,0.7706798875,0.0006131700148138213
0.4425,0.6634904250000001,0.0012388065721193953
0.4475,0.7270624625,0.0008146401724181924
0.4575,0.8026576125,0.000335593479801903
0.485,0.8875014625000001,0.0001027351761490481
0.439,0.6076094,0.0013916121633260566
0.36,0.0873057125,0.00023581537848349233
0.44,0.6235817625000001,0.0013868659428875301
0.405,0.1801591625,0.0005733670060661959
0.465,0.83550795,0.0002590227870683989
0.37,0.09778067500000001,0.00024143139061190124
0.438,0.5897985,0.0015375345728650773
0.45,0.75122765,0.0007070856551388398
0.4125,0.22218591250000005,0.0006981831433941555
0.4025,0.169585475,0.00047050806722592
0.4406,0.6362033500000001,0.0014779297573129697
0.415,0.241188325,0.0008616815638800047
0.47,0.8521286250000001,0.00017049903637006558
0.4625,0.8257557125000001,0.00025719756844432863
0.395,0.14428668749999998,0.0003558855607513626
0.4402,0.6278697375,0.0014628455859766291
0.385,0.12141447500000001,0.0003179773245644597
0.4375,0.58116325,0.0014864277359999763
0.4275,0.393079375,0.0014981833860669201
0.4412,0.6450197625,0.0013419148970074748
0.4398,0.62285095,0.0013218667277146445
0.46,0.81505485,0.0002627482022691801
