k,correlation,beta
1,0.0005818461423485,460
2,0.0002623702643126,460
3,0.0001509343499739,460
4,8.801782200614171e-05,460
5,5.1470697900462925e-05,460
6,2.0974468831317643e-05,460
7,1.1639263825050392e-05,460
8,1.2739827130772544e-05,460
9,1.9949414796272927e-05,460
10,1.6729719927513165e-05,460
11,1.5745399113058255e-05,460
12,1.23183047269743e-05,460
13,-2.5910963144947617e-06,460
14,-6.7894132740051045e-06,460
15,-1.3448554097187904e-06,460
16,-5.947482960805958e-06,460
17,-3.795688567049244e-06,460
18,-4.384818657174272e-07,460
19,-6.094179083196133e-06,460
20,-5.411432312189609e-06,460
21,7.866923089249374e-07,460
22,4.569544676059921e-06,460
23,-5.409879418863759e-06,460
24,-1.0836716190368056e-05,460
25,-7.493302813574375e-06,460
26,1.1134879751027595e-05,460
27,9.868510450181187e-06,460
28,1.5607174863132707e-05,460
29,3.13536636422532e-07,460
30,7.161577256282186e-06,460
31,2.63422813691886e-06,460
32,7.584332962459765e-06,460
33,-4.350874244665903e-06,460
34,1.8840322829264405e-06,460
35,-6.707938621140015e-06,460
36,-7.601032951137705e-06,460
37,-1.396432281059983e-05,460
38,-1.8047474083772604e-05,460
39,7.262574078336917e-06,460
40,3.1861293852597207e-06,460
41,9.465772220423562e-06,460
42,-2.064032385209654e-06,460
43,4.017209303772012e-06,460
44,-6.00922194263221e-06,460
45,1.8576383270091893e-06,460
46,4.5011781451998346e-06,460
47,-3.779868621603803e-06,460
48,2.973500653397128e-06,460
49,1.8274272531929828e-06,460
50,2.8878168922561347e-06,460
