k,correlation,beta
1,0.0087791002502562,420
2,0.0014974937271817,420
3,0.000348724944159,420
4,0.0002288905767874,420
5,-1.7934238243962103e-05,420
6,6.427426847764935e-05,420
7,-9.543510368212706e-05,420
8,0.0001062772355575,420
9,0.0002175822546352,420
10,7.215544768067013e-05,420
11,1.9537134724310148e-05,420
12,-0.0004501145490528,420
13,-8.216931081373547e-05,420
14,4.330909897411616e-05,420
15,7.778165790253398e-05,420
16,-0.0001663609382926,420
17,2.5190884511396538e-05,420
18,-4.889065067092018e-06,420
19,0.0004129461976457,420
20,0.000268762171156,420
21,-1.826119502556536e-05,420
22,1.4498348965752991e-05,420
23,0.000108738462779,420
24,0.0003606227314417,420
25,0.0002140260305473,420
26,9.769240316816094e-05,420
27,2.3241709208415807e-05,420
28,-0.0001068479397226,420
29,-3.910673870011195e-05,420
30,-0.0002776690662121,420
31,0.0001160748017498,420
32,-0.0002603649304628,420
33,0.0002408885359853,420
34,5.373284764025487e-05,420
35,-6.761270347056465e-05,420
36,-7.402950833059668e-06,420
37,8.645650273431589e-06,420
38,0.0001202219293695,420
39,-0.0001011140730484,420
40,0.0003054617591472,420
41,-0.0002069684969865,420
42,5.680652068946926e-05,420
43,-9.771066463141956e-05,420
44,2.888103786462048e-05,420
45,-0.0001816411065363,420
46,-0.0001576712966313,420
47,6.142626716429785e-05,420
48,-0.0002497860938527,420
49,2.840273226472091e-05,420
50,-3.755746850475248e-05,420
