k,correlation,beta
1,4.922655021911738e-05,480
2,2.5685598435605407e-05,480
3,1.852970423166071e-05,480
4,5.821355524150784e-06,480
5,1.4203816660472145e-05,480
6,6.566957790721588e-06,480
7,-1.7145339240989731e-06,480
8,9.396231207106274e-06,480
9,8.309890035790704e-07,480
10,1.5333577203623244e-06,480
11,-1.1287970255610302e-06,480
12,2.217313638207433e-06,480
13,6.738165095511011e-07,480
14,-2.9639092576197136e-06,480
15,-4.199917273205591e-06,480
16,8.090765366527931e-07,480
17,-5.59390765439197e-07,480
18,1.5973314058218056e-06,480
19,1.7943370935192476e-06,480
20,1.730169207709539e-06,480
21,5.625103775057076e-06,480
22,5.447845415101807e-07,480
23,3.1289153055465774e-06,480
24,2.8630783771396007e-06,480
25,-9.660924741429226e-07,480
26,5.559019040510072e-06,480
27,3.7474638589481535e-06,480
28,-2.269316458161846e-06,480
29,7.219861367764519e-06,480
30,-3.8126236739565314e-06,480
31,2.7011763876911637e-06,480
32,3.7455493078735656e-06,480
33,-5.831309095509933e-06,480
34,1.7140892109072844e-06,480
35,3.6622569555314944e-06,480
36,1.475393022419186e-06,480
37,1.0450032748206444e-06,480
38,5.726560574148654e-06,480
39,2.1928420869095736e-06,480
40,-2.8797001612348346e-06,480
41,2.755762103657511e-06,480
42,9.13505303756638e-07,480
43,-2.6770920230193934e-06,480
44,-3.9471751253267645e-06,480
45,-1.751994137676114e-07,480
46,-5.481311061785843e-06,480
47,-2.560692415673707e-06,480
48,-1.8614393017066548e-06,480
49,-6.198972549088249e-06,480
50,-5.299087669320951e-06,480
