k,correlation,beta
1,1.4260826623361488e-06,500
2,6.142329001771069e-07,500
3,-1.581328257194083e-06,500
4,-1.2880115058282978e-06,500
5,7.315877906872713e-07,500
6,1.5322710117242205e-06,500
7,-1.5760548165515837e-06,500
8,-1.2286707823674504e-06,500
9,-2.849644583488978e-06,500
10,8.376987801297563e-07,500
11,-1.0571731543169477e-06,500
12,-3.475037762448403e-07,500
13,2.4270027838923427e-06,500
14,-9.424178433018992e-07,500
15,-2.807592070542327e-06,500
16,1.995450813470401e-06,500
17,-2.326980942403995e-08,500
18,-2.3405279036319878e-06,500
19,-1.984996387976022e-06,500
20,-7.763768586182639e-07,500
21,-2.362133549868647e-08,500
22,-3.303133968309967e-07,500
23,-5.872038096801696e-08,500
24,-3.658402508998225e-07,500
25,-1.1174905459915368e-06,500
26,-3.017304268298885e-06,500
27,-8.313378501492582e-07,500
28,1.0980945976609482e-06,500
29,-3.861373491793701e-07,500
30,1.3026934323786916e-06,500
31,3.986409375264981e-06,500
32,-2.190967107887626e-06,500
33,-6.572859000006731e-07,500
34,4.350746715207914e-06,500
35,1.1408895576168467e-06,500
36,1.4870982583104864e-06,500
37,1.0129685584386635e-06,500
38,2.6175273522880416e-06,500
39,-3.04284711759707e-06,500
40,-8.085063354335048e-07,500
41,-1.2486741893698983e-06,500
42,-1.554371709435677e-06,500
43,1.2782310245636297e-06,500
44,-2.5462373978786365e-06,500
45,-1.230413709176975e-06,500
46,-1.479131178402846e-06,500
47,4.4924708410954316e-07,500
48,-2.4507714237625542e-06,500
49,5.654262754990961e-07,500
50,-1.1068153925313676e-06,500
