k,correlation,beta
1,6.179865592449523e-05,490
2,1.1098789339175946e-05,490
3,-7.607262449044625e-06,490
4,-4.8329362606793625e-06,490
5,-1.8270026287460853e-08,490
6,-4.368212120070331e-06,490
7,-1.7420302735589624e-05,490
8,6.965265194758791e-06,490
9,1.032920668758798e-05,490
10,-7.74515854142587e-06,490
11,-6.485988738888467e-06,490
12,-8.90701317376732e-06,490
13,-5.31841189528977e-06,490
14,-9.859799634961674e-07,490
15,5.797326928181174e-06,490
16,9.785774681034096e-06,490
17,-1.8555731699113137e-06,490
18,-8.21011086198427e-06,490
19,6.967807554348095e-06,490
20,5.853013018959738e-06,490
21,7.288271358784021e-06,490
22,2.995679296687796e-06,490
23,2.1267790860438925e-07,490
24,-1.383244713418372e-05,490
25,7.660722004071434e-06,490
26,-5.405303863884121e-07,490
27,-8.12427618011241e-06,490
28,5.652211609086554e-08,490
29,-1.0912212488217736e-06,490
30,-4.270114401485695e-07,490
31,3.023353158204913e-06,490
32,-3.082942047285846e-06,490
33,1.3181400056630951e-05,490
34,-4.272900963773319e-06,490
35,-1.6915712303806328e-05,490
36,-9.722548261431203e-06,490
37,-1.45970903220346e-05,490
38,2.7527431867369776e-06,490
39,-1.0196722354447256e-05,490
40,3.841794970102391e-07,490
41,2.4574000721831347e-06,490
42,4.326000746410956e-06,490
43,1.0126500189122012e-05,490
44,2.4226856061493554e-06,490
45,-3.671888214771493e-06,490
46,-1.1461323903627583e-05,490
47,5.1375589910382695e-06,490
48,1.0887519596939097e-06,490
49,-4.425421534856292e-06,490
50,3.404465704242977e-07,490
