k,correlation,beta
1,0.0131183499404225,420
2,0.0073266275445808,420
3,0.0041593448843743,420
4,0.0023490382207002,420
5,0.0013939674525369,420
6,0.0008281011084904,420
7,0.000401858047628,420
8,0.0001911913838254,420
9,7.249020240724735e-05,420
10,8.345118205089077e-06,420
11,2.1973132766944988e-05,420
12,-2.3183561456059428e-05,420
13,-7.014460454406024e-05,420
14,4.8608095120790814e-05,420
15,9.286945867579274e-05,420
16,6.007025573472512e-05,420
17,3.870235371051253e-06,420
18,6.219613210340811e-05,420
19,2.4039990604899587e-05,420
20,-4.974525446550166e-06,420
21,-1.840022978335278e-06,420
22,-2.48984607281513e-06,420
23,-1.3582675184036854e-05,420
24,-9.97756916459567e-05,420
25,-6.788573883580816e-05,420
26,-3.264240438724761e-05,420
27,-0.0001008545478162,420
28,8.860872654106311e-06,420
29,3.0646137598064965e-05,420
30,8.809070952837927e-05,420
31,2.911272393233796e-05,420
32,-2.33275250737212e-05,420
33,-0.0001143982985137,420
34,-9.479418650443908e-05,420
35,-9.62818486818445e-05,420
36,-0.0001996598753501,420
37,-0.0002039964366639,420
38,-0.0001870887648284,420
39,-0.0001701720736621,420
40,-7.91491947630689e-05,420
41,-2.086283209417815e-05,420
42,6.889596767927723e-05,420
43,8.492920700644164e-05,420
44,3.685413417380904e-05,420
45,-1.8392909964459028e-05,420
46,3.237397866511431e-05,420
47,-1.862418425428171e-05,420
48,-0.0001833221769398,420
49,-0.0001799393924942,420
50,-0.000160374213318,420
