k,correlation,beta
1,0.007562019956784325,4409
2,0.0018411587821701738,4409
3,0.0004564255727215922,4409
4,0.00010300007547971467,4409
5,2.3510520425569176e-07,4409
6,0.00010385613125167032,4409
7,-6.504482773185086e-05,4409
8,-0.00022515474796394887,4409
9,-2.0632228787399163e-05,4409
10,7.986724057204811e-05,4409
11,-9.338605077029224e-05,4409
12,-6.397705367884952e-05,4409
13,0.00014293682610228104,4409
14,3.07927660994439e-05,4409
15,0.00014559287641595156,4409
16,9.821451467913707e-05,4409
17,0.000134114934130389,4409
18,8.387415642454426e-05,4409
19,-6.289782660019022e-06,4409
20,-0.00011515638194290212,4409
21,-2.7898262204278078e-05,4409
22,-0.0003072622678583478,4409
23,-9.09933442687973e-05,4409
24,-0.00014455832950139476,4409
25,-0.0002363924636959427,4409
26,-0.00013330325097797227,4409
27,-0.00015980957141970275,4409
28,-0.00013173628554807352,4409
29,-1.5978105028776368e-05,4409
30,-8.857707730839897e-06,4409
31,-4.325664814813835e-06,4409
32,0.0001644732806258792,4409
33,0.0001298412667163954,4409
34,0.00010898355049034551,4409
35,-8.86569618561727e-05,4409
36,-7.105667123636873e-05,4409
37,7.083962771232974e-05,4409
38,-4.262247139175518e-05,4409
39,-0.0001455831522722116,4409
40,3.615934139103123e-05,4409
41,0.00011723533730256641,4409
42,4.587971209479333e-06,4409
43,1.4721052766417843e-06,4409
44,-7.883682609731175e-05,4409
45,-1.9157228349285735e-05,4409
46,-6.831173140817815e-05,4409
47,-7.4850002240484e-05,4409
48,-3.27798722182959e-05,4409
49,-2.281827630021796e-05,4409
50,8.280330009001231e-05,4409
