k,correlation,beta
1,4.3773383408713565e-06,490
2,1.023448202722443e-07,490
3,-2.2107592116725256e-06,490
4,-9.830610108886786e-07,490
5,6.836370077700482e-07,490
6,-1.7212375499653902e-06,490
7,-1.2713430766397585e-06,490
8,-2.285446334843266e-06,490
9,1.429829523248587e-06,490
10,2.0210886637458075e-06,490
11,2.579502017669253e-06,490
12,5.712604785526601e-07,490
13,2.269720043436983e-07,490
14,1.3619634542747015e-06,490
15,-8.112488850937001e-07,490
16,7.881658071361095e-07,490
17,2.282242918245197e-07,490
18,-7.255609173822688e-07,490
19,-5.390589605317077e-07,490
20,7.698071831953577e-07,490
21,-2.298254513321104e-06,490
22,7.688732630924703e-07,490
23,-5.862737388974108e-07,490
24,3.470742539039901e-06,490
25,-8.341851795764955e-07,490
26,-1.210164059489149e-06,490
27,-1.9490313271154376e-07,490
28,2.178518702418889e-06,490
29,1.895994739144565e-06,490
30,-1.3418362007821598e-06,490
31,1.196663908977846e-06,490
32,-1.2248432689066633e-07,490
33,1.5512141298447178e-06,490
34,6.392361900944396e-07,490
35,-1.2536043868176197e-06,490
36,1.291770587468623e-07,490
37,1.916108810433556e-06,490
38,-1.0393117175911322e-06,490
39,-7.919995189829295e-07,490
40,1.33867314861689e-06,490
41,-1.2528481645821197e-06,490
42,-4.851511789218237e-07,490
43,-4.454440131844247e-07,490
44,-8.902074597330981e-07,490
45,8.198381133881398e-07,490
46,8.295092185255596e-07,490
47,1.262193055308984e-06,490
48,1.5009643327006245e-06,490
49,9.31277645275042e-07,490
50,1.7013630693714975e-06,490
