k,correlation,beta
1,0.0022069078460361,400
2,0.0002803777595674,400
3,-3.831504380981239e-05,400
4,-9.97446468100965e-05,400
5,3.533152714980658e-05,400
6,5.845343208177717e-05,400
7,-4.577085787115887e-05,400
8,0.0001345944165655,400
9,6.150239090846297e-05,400
10,-4.008622318880777e-05,400
11,-6.660920531235453e-05,400
12,-6.707111221082702e-05,400
13,-2.5839741224985017e-05,400
14,-0.0001354003336032,400
15,4.881106162342415e-05,400
16,3.552015445885225e-05,400
17,5.989229487426807e-05,400
18,-2.8125875649233067e-05,400
19,-4.57342499342136e-06,400
20,-0.0001134838895245,400
21,-2.674920848791132e-06,400
22,7.890088458589331e-05,400
23,3.346274230651956e-05,400
24,2.6946978890941896e-05,400
25,2.790204587269188e-05,400
26,1.291490071639794e-05,400
27,-5.461075693039343e-05,400
28,-8.368405460958741e-05,400
29,-0.0001256345173747,400
30,-5.4045614779408095e-05,400
31,3.571831183660754e-05,400
32,9.25963906533084e-05,400
33,-8.532075823653929e-05,400
34,-5.024573717291331e-05,400
35,6.085343773029307e-05,400
36,6.63608031181806e-05,400
37,7.723446850556846e-05,400
38,1.356623574566507e-05,400
39,-0.0001052512387413,400
40,5.134857373286495e-05,400
41,8.830206273077233e-05,400
42,-0.000103655942169,400
43,1.9189724145762667e-05,400
44,6.092445763553749e-05,400
45,8.97423828662761e-05,400
46,0.0001188262573207,400
47,4.084910381281176e-05,400
48,-0.0001887472413798,400
49,-3.683659076750722e-05,400
50,-8.645562417282857e-05,400
