k,correlation,beta
1,0.0041184121893068,410
2,0.0012989873908473,410
3,0.0003584424805427,410
4,6.240785947960798e-05,410
5,7.480134421192252e-06,410
6,8.507232538883678e-05,410
7,2.46994122417341e-05,410
8,-1.5776460008873542e-05,410
9,4.774618301456919e-05,410
10,3.309502012677776e-06,410
11,-2.6592607482335044e-05,410
12,1.138056224603336e-05,410
13,1.04054930868809e-06,410
14,-6.369925863419991e-05,410
15,-4.110588881783049e-05,410
16,-1.901530349043154e-05,410
17,-6.496191248671343e-05,410
18,3.9107193946594906e-05,410
19,9.555069641977468e-05,410
20,6.911365885211716e-05,410
21,-3.715785369209821e-06,410
22,-3.748963858605209e-07,410
23,4.9008440242290345e-05,410
24,1.0999949858820483e-05,410
25,-2.8186513009366284e-06,410
26,-7.693634421948436e-05,410
27,-6.030584772489399e-06,410
28,4.1227342308511896e-06,410
29,-2.1821144536267176e-06,410
30,-2.678631846388358e-05,410
31,-8.222910505443569e-05,410
32,-7.150186308863896e-05,410
33,-5.911477951948959e-05,410
34,-8.23163513057286e-05,410
35,-1.3847160300875016e-05,410
36,3.047966797545729e-05,410
37,1.1064389126988887e-05,410
38,-2.751573646114436e-06,410
39,-6.988769771416794e-06,410
40,-1.5873435386645867e-05,410
41,-1.6640403462363338e-05,410
42,1.1575010265700655e-06,410
43,1.4159150112506057e-05,410
44,1.108940704178714e-05,410
45,1.6917582517312914e-05,410
46,0.0001043513985784,410
47,2.29957315317896e-05,410
48,5.008340392336559e-05,410
49,2.6712443393493743e-05,410
50,-6.683136661072658e-05,410
