k,correlation,beta
1,-4.1184198154567805e-07,500
2,1.2422618814862205e-06,500
3,3.802813545029344e-06,500
4,-7.469443380237346e-06,500
5,5.761993446544237e-06,500
6,5.892514934642456e-06,500
7,-9.860816449030173e-06,500
8,-1.869549683225129e-05,500
9,-4.619173556250842e-06,500
10,-9.026754569212895e-06,500
11,2.848942576801439e-06,500
12,5.787323421303217e-06,500
13,2.5090550690256543e-06,500
14,-5.5797460357031385e-06,500
15,6.4373943997762965e-06,500
16,9.976569275981617e-07,500
17,5.604274928603086e-06,500
18,-1.50926847958763e-06,500
19,-1.1501288394181796e-05,500
20,-3.7185262053662365e-07,500
21,-7.070613029373613e-06,500
22,5.87505797399065e-06,500
23,-1.2525042028555313e-06,500
24,1.1798415342167478e-05,500
25,-3.873758471025858e-07,500
26,-5.93040219583653e-06,500
27,-6.67044888809092e-06,500
28,5.8856437752402136e-06,500
29,-4.484123613991434e-06,500
30,-8.04434924854245e-06,500
31,4.9987573328785935e-06,500
32,5.765283695763223e-06,500
33,-1.5667970511726943e-06,500
34,2.3008831790094367e-06,500
35,4.509610229183953e-06,500
36,-1.7667540066696553e-07,500
37,2.23163261842059e-06,500
38,2.537114579766331e-06,500
39,-6.486967116574662e-06,500
40,1.2576530361893366e-06,500
41,-9.496012303194217e-06,500
42,4.512643547526659e-07,500
43,-2.4327838989786403e-06,500
44,-7.231200718343073e-06,500
45,-5.128845883800205e-06,500
46,4.808023737141511e-06,500
47,6.792979445935784e-06,500
48,4.823145317223265e-06,500
49,2.3815283432323187e-06,500
50,3.560519446909406e-07,500
