k,correlation,beta
1,0.015674957294153573,4409
2,0.008774527752658311,4409
3,0.004923662372745943,4409
4,0.002772828279308918,4409
5,0.001567041236008501,4409
6,0.0009497724563595543,4409
7,0.0006320280057233421,4409
8,0.0005250953465252132,4409
9,0.00024873559833210975,4409
10,0.00013467567765011642,4409
11,4.1792961274969796e-05,4409
12,-0.00013659497150802686,4409
13,-0.0002223111128412027,4409
14,-0.0001558790497537718,4409
15,-0.00015192501117600226,4409
16,4.572004638631877e-07,4409
17,-9.503950121611538e-06,4409
18,7.147352967949843e-06,4409
19,3.5073786512240686e-05,4409
20,9.28861262804707e-05,4409
21,0.00012626603144114048,4409
22,3.7925928661311506e-05,4409
23,0.0001699268244208571,4409
24,0.00016655808780679675,4409
25,8.227981863041647e-05,4409
26,4.5044435902920704e-05,4409
27,8.453341335658997e-06,4409
28,3.284556209680504e-05,4409
29,8.508360277713737e-05,4409
30,1.2574217305271501e-05,4409
31,-2.6860717199963037e-05,4409
32,-6.801394160400415e-05,4409
33,4.630632880335608e-05,4409
34,-2.2070919788526763e-05,4409
35,-0.00022306564557649923,4409
36,-0.0002449428265491861,4409
37,-0.00021120115635284267,4409
38,-0.00018327560419121008,4409
39,-0.00012542565425877866,4409
40,-3.4950248709080204e-06,4409
41,0.00010585765495302946,4409
42,3.6071966107670535e-05,4409
43,1.4484387957889678e-05,4409
44,7.203258052181736e-05,4409
45,3.674458041393784e-05,4409
46,-2.6965325399703304e-05,4409
47,7.534452916218373e-05,4409
48,2.695038271988473e-05,4409
49,0.0001069964532517549,4409
50,3.8249946622191894e-05,4409
