k,correlation,beta
1,0.015583740541960489,4406
2,0.0084854068986626,4406
3,0.0045361185644008616,4406
4,0.002409711945622284,4406
5,0.0013595692152939766,4406
6,0.000799157320440087,4406
7,0.0004071800875524995,4406
8,0.0002039340462803243,4406
9,3.576541978261186e-05,4406
10,5.378196275248897e-06,4406
11,-3.906791480746592e-05,4406
12,-2.8858632867115833e-05,4406
13,-7.45047740130899e-05,4406
14,-8.421420128324005e-05,4406
15,-8.599045050552956e-05,4406
16,-2.7243033997717087e-05,4406
17,5.851056937827207e-05,4406
18,5.381315733117221e-05,4406
19,7.332999755474565e-05,4406
20,0.0002487421995142765,4406
21,0.00031013111842607055,4406
22,0.0002759488104395981,4406
23,0.0001518044554623823,4406
24,6.70796895241674e-05,4406
25,-1.7330501191308722e-05,4406
26,-8.578422090196681e-05,4406
27,-4.066391911241211e-05,4406
28,-5.697174191385847e-05,4406
29,-9.449827933303054e-05,4406
30,6.839747873834565e-05,4406
31,8.108423474358095e-05,4406
32,0.0001403288422725214,4406
33,0.00012833626515895355,4406
34,0.0001655459875957223,4406
35,3.043288911207412e-05,4406
36,-1.2996110789504853e-05,4406
37,1.9383244258151547e-05,4406
38,-4.340165498601708e-05,4406
39,-0.0001284368941552238,4406
40,-0.00020766410080778658,4406
41,-0.00013289476464696732,4406
42,-9.36103733462929e-05,4406
43,-4.1208774397656056e-05,4406
44,3.20748779830734e-05,4406
45,7.053213219023437e-05,4406
46,-7.04238980547981e-06,4406
47,4.410809951908912e-07,4406
48,-6.416403153657312e-05,4406
49,-0.00018128417960128548,4406
50,-3.667464359859475e-05,4406
