k,correlation,beta
1,0.000595668997929,470
2,0.0001099737981165,470
3,4.675687434837666e-05,470
4,4.019645915206633e-05,470
5,-1.3423510817793563e-05,470
6,1.3975643510409738e-05,470
7,-8.831408637758608e-06,470
8,-1.9216473042947973e-05,470
9,2.769046978174563e-06,470
10,4.077709732522097e-05,470
11,1.3058847377755003e-05,470
12,1.5583185475850146e-05,470
13,4.027520585939482e-05,470
14,3.0798911581814915e-05,470
15,-9.185138410020506e-06,470
16,-2.0076989468524424e-05,470
17,-4.2259407172882606e-05,470
18,-1.7287354633444046e-05,470
19,-1.2330357175923865e-05,470
20,2.200111431635237e-05,470
21,-2.425590945844795e-05,470
22,-4.529155468294337e-05,470
23,-2.654721457371498e-05,470
24,-3.39375418478571e-05,470
25,-1.6203217478134304e-05,470
26,-1.9421066549517225e-05,470
27,-1.1616592825729796e-05,470
28,2.0660886103993344e-05,470
29,1.6937483115036678e-05,470
30,3.6434318917158426e-05,470
31,1.737600534719046e-05,470
32,-6.69421263596293e-06,470
33,-1.823286880807456e-05,470
34,-7.917498172589004e-07,470
35,-1.7021917503836116e-06,470
36,-2.2284052528132023e-05,470
37,2.924042997892087e-05,470
38,2.652115592312666e-05,470
39,2.119631297248613e-05,470
40,5.213106737456362e-07,470
41,3.777473274144995e-05,470
42,2.853583232532197e-06,470
43,-1.1112007133943042e-05,470
44,-2.821577922468431e-05,470
45,1.2264280971159302e-05,470
46,1.406235372898682e-05,470
47,-3.906676940340891e-06,470
48,8.805283673034296e-06,470
49,4.47782236430024e-05,470
50,2.0915550815378177e-05,470
