k,correlation,beta
1,0.007707951837512816,4406
2,0.0018714454618681724,4406
3,0.0004833605290392634,4406
4,0.00020332884069147763,4406
5,-9.567517903577234e-06,4406
6,6.452194515348875e-05,4406
7,0.00010232774710353709,4406
8,1.029749915564116e-05,4406
9,-7.408180530230578e-05,4406
10,2.9559100324665048e-05,4406
11,1.8549533447770682e-05,4406
12,3.5654178785017926e-05,4406
13,4.312851006433312e-05,4406
14,-7.410699796723207e-05,4406
15,-8.576084502980376e-05,4406
16,-8.575266939568518e-05,4406
17,8.311500699706156e-05,4406
18,3.934352105413348e-05,4406
19,1.8986042112804476e-05,4406
20,-0.00010271436242321739,4406
21,3.3983591828018135e-05,4406
22,1.933912455560137e-05,4406
23,-1.118233918535142e-05,4406
24,-2.778717875166395e-06,4406
25,0.00011178225055423233,4406
26,0.00015488012095750427,4406
27,3.9183714223357784e-05,4406
28,6.496654890867608e-05,4406
29,0.0001336879322998092,4406
30,5.0740336244781156e-05,4406
31,7.67725416362767e-05,4406
32,0.00014308526744841283,4406
33,-4.6464791443880635e-05,4406
34,-4.064691478926508e-05,4406
35,-0.00013599658766946294,4406
36,-0.00023288419931105953,4406
37,-0.00021767686169367118,4406
38,-2.53005722478418e-05,4406
39,3.835451041313776e-05,4406
40,0.00028621768173123853,4406
41,0.00012768163546354386,4406
42,-5.477613603966705e-05,4406
43,-9.961278424529362e-05,4406
44,-6.179233569130763e-05,4406
45,3.930521285433023e-06,4406
46,-0.00010476675345127017,4406
47,-1.1801119116197521e-05,4406
48,2.9148362956748787e-06,4406
49,5.58013925210529e-05,4406
50,-1.7621905559602425e-05,4406
