k,correlation,beta
1,2.2759437202519952e-05,480
2,4.892867879863682e-06,480
3,4.094964453860641e-06,480
4,7.113285946676221e-07,480
5,-2.146397766759521e-06,480
6,1.5558613469425742e-06,480
7,1.1757397867722493e-07,480
8,-1.815466559204764e-06,480
9,1.150512526574006e-07,480
10,-4.448810847850594e-06,480
11,-8.509551504999697e-07,480
12,-1.4552132385851052e-06,480
13,-8.352282602333182e-07,480
14,2.3504795037120244e-06,480
15,2.5327717000694744e-06,480
16,5.841831166100679e-07,480
17,7.028031714875388e-07,480
18,-4.6843137046652494e-06,480
19,2.18728602467904e-06,480
20,5.580105429438775e-07,480
21,5.13333460754994e-07,480
22,2.2502166713609085e-06,480
23,5.227165364535633e-07,480
24,7.271060522596775e-07,480
25,1.4982798481631416e-07,480
26,-1.7012312515483006e-06,480
27,-2.270141740071816e-06,480
28,2.0073838814498278e-06,480
29,2.129734868135702e-06,480
30,-3.703854396109573e-07,480
31,-2.154531280942972e-06,480
32,-4.535187406861834e-07,480
33,-1.753986740948662e-06,480
34,1.036719690399532e-06,480
35,1.4791599232829128e-06,480
36,2.0428530295733627e-06,480
37,2.0337441091361478e-06,480
38,-1.648782871542516e-06,480
39,-1.4140515345128269e-06,480
40,-2.094068554967407e-06,480
41,2.911675583497024e-06,480
42,-1.1744148128287655e-06,480
43,1.0068882051977296e-06,480
44,-2.1643761053639222e-06,480
45,4.943635411449043e-07,480
46,1.0553084226788407e-06,480
47,-2.775279655716756e-06,480
48,-1.4825584810165638e-06,480
49,3.835987286830169e-06,480
50,-8.279159419466855e-07,480
