k,correlation,beta
1,0.0001726363422492,480
2,2.0279658449889742e-05,480
3,-1.8387285670991984e-05,480
4,-2.855586095600053e-05,480
5,1.2709558207206456e-05,480
6,-1.7391340775291157e-05,480
7,-1.1568421698505164e-05,480
8,2.028204203208487e-06,480
9,2.3487668927935657e-05,480
10,1.654931765035741e-05,480
11,-1.8967158337966585e-05,480
12,-1.156474504409626e-05,480
13,2.65012421231577e-06,480
14,-1.31878643339774e-05,480
15,-5.073173568148561e-06,480
16,-2.185312911691117e-05,480
17,1.402856374544327e-05,480
18,1.2339257636838113e-05,480
19,1.8796980322587773e-05,480
20,-1.2390759989814538e-05,480
21,-3.0204592586400723e-05,480
22,-7.24912303316665e-06,480
23,-8.066775903697915e-06,480
24,-7.988509396636995e-06,480
25,-5.577441893996817e-06,480
26,-1.4796471635288645e-05,480
27,-2.0724580978666685e-05,480
28,1.7816065438871238e-06,480
29,-2.2074018275385456e-05,480
30,7.461183050687572e-06,480
31,9.026493594646026e-06,480
32,-5.516058906355152e-06,480
33,-1.0549228151937892e-05,480
34,7.5998963239593616e-06,480
35,-6.370231836073418e-06,480
36,1.1237857119493098e-05,480
37,-8.644310753191677e-06,480
38,3.294997421665814e-06,480
39,1.3633783894224294e-05,480
40,2.181339658800157e-05,480
41,9.15833000052308e-06,480
42,1.4419272630589662e-05,480
43,-5.858367175944917e-06,480
44,1.4666087356440804e-06,480
45,7.31190988310613e-06,480
46,8.357508598473483e-06,480
47,1.036888055423995e-05,480
48,7.285160153110711e-06,480
49,2.056592596582211e-05,480
50,-2.7520582111506063e-06,480
