k,correlation,beta
1,0.0056681859326986,410
2,0.0016723868499165,410
3,0.0005884375277814,410
4,0.0002707917233014,410
5,0.0001127966798386,410
6,1.56809391629286e-05,410
7,9.892682916572977e-06,410
8,3.5484367449572845e-05,410
9,9.346924403870544e-05,410
10,1.480279315459453e-06,410
11,4.234164788160923e-05,410
12,4.427572364765031e-05,410
13,2.149631455623977e-05,410
14,-2.958319772608084e-05,410
15,-3.433621324407896e-06,410
16,-3.786932422667546e-05,410
17,-1.671402921788772e-05,410
18,-8.420993346906776e-05,410
19,-5.878999591745259e-05,410
20,1.835790427466075e-05,410
21,8.500876679374132e-05,410
22,0.0001160107604687,410
23,9.307688289656724e-05,410
24,-2.614172769614292e-05,410
25,-6.729451015809273e-06,410
26,-4.087582033102821e-07,410
27,-2.279545005753404e-05,410
28,-0.0001203868882058,410
29,-0.0001020070480816,410
30,4.765577877746735e-05,410
31,4.239238235298818e-05,410
32,0.0001060444779875,410
33,-6.121878156329447e-05,410
34,-3.022428141840048e-05,410
35,-5.435777560339574e-05,410
36,6.164952978269686e-05,410
37,-0.0001324856124227,410
38,-9.341077815402964e-05,410
39,-0.0001229350902385,410
40,-5.21697642821649e-05,410
41,-2.380109413723241e-05,410
42,-8.561814133189876e-05,410
43,-5.999834726639285e-05,410
44,3.287303400806428e-06,410
45,2.541158146021945e-05,410
46,-5.537987294027178e-06,410
47,-1.900392800087321e-05,410
48,-6.582101138725935e-06,410
49,8.427549354475092e-06,410
50,8.725878807620653e-05,410
