k,correlation,beta
1,0.0016599826062406,460
2,0.000786088398112,460
3,0.0004254340334633,460
4,0.0002166802293823,460
5,0.0001619928577778,460
6,0.0001056830323418,460
7,5.3895648742569e-05,460
8,5.8129653840891055e-05,460
9,3.9902289071369216e-05,460
10,1.7906541171949258e-05,460
11,2.7681165310085128e-05,460
12,-1.7742474703570425e-05,460
13,2.0979092865146684e-05,460
14,4.433815594498435e-05,460
15,7.380524369510074e-06,460
16,-8.491441138794683e-06,460
17,-7.162881133258939e-06,460
18,1.4138417919541864e-05,460
19,5.918861778451921e-06,460
20,2.911108920736157e-07,460
21,-1.0534949212107837e-05,460
22,-1.457548147735573e-05,460
23,-1.0693300273014058e-05,460
24,-7.895656361772836e-06,460
25,1.918179431538404e-06,460
26,3.421639307738622e-05,460
27,1.6989518588082896e-05,460
28,1.1406101281351431e-05,460
29,3.672716763390792e-05,460
30,2.903390408829965e-05,460
31,1.0054460013524123e-05,460
32,-1.3348282883914062e-05,460
33,-3.851290467266914e-05,460
34,2.0673518044050524e-06,460
35,4.189889959131992e-06,460
36,7.721719641031502e-06,460
37,-1.342507596591006e-05,460
38,1.396345753339557e-06,460
39,-1.035759143897914e-05,460
40,7.63970557012228e-07,460
41,-2.713845903054072e-06,460
42,-3.141122973539406e-05,460
43,-2.5578944749764034e-05,460
44,-3.197969153232932e-05,460
45,-5.321254634063577e-05,460
46,-2.7443539513077417e-05,460
47,-2.5116472600224375e-05,460
48,-4.075022008710103e-05,460
49,5.705673860895013e-07,460
50,-9.144254629165862e-06,460
