k,correlation,beta
1,0.019613696292489265,4406
2,0.014223245693786631,4406
3,0.010365335990273058,4406
4,0.0075385285100057235,4406
5,0.005583289199077402,4406
6,0.004127322757214845,4406
7,0.0029569982399269643,4406
8,0.0021511097618231024,4406
9,0.0015531842176443223,4406
10,0.001208264658138821,4406
11,0.0009468014854071217,4406
12,0.0008086662817820229,4406
13,0.0005615980291565156,4406
14,0.00043094703646668307,4406
15,0.0002569563303106183,4406
16,0.0001919847684109981,4406
17,0.00016502247744808413,4406
18,0.00013884752647617022,4406
19,8.790744969758363e-05,4406
20,3.1739115295608743e-06,4406
21,-7.56931464808938e-05,4406
22,-0.00016715618597906034,4406
23,-0.00016614118707668527,4406
24,-0.00015449141545263335,4406
25,-9.9643465732363e-05,4406
26,-5.107572250992328e-05,4406
27,-8.087691264086761e-05,4406
28,-5.781451662399885e-05,4406
29,-1.5711684388326585e-05,4406
30,3.1394775038394877e-05,4406
31,-1.9610626733291065e-05,4406
32,-3.9709283110112104e-05,4406
33,-6.428701462172893e-05,4406
34,-3.3600948102269664e-05,4406
35,7.531663299487075e-05,4406
36,0.000166329199182013,4406
37,0.00019409124402258688,4406
38,0.00026272613302108153,4406
39,0.0002585010266854272,4406
40,0.00031836478832108844,4406
41,0.0003034415770843499,4406
42,0.0003304321387380025,4406
43,0.0002947396751389068,4406
44,0.000272928602720153,4406
45,0.0001833717075772328,4406
46,0.00010577459637639817,4406
47,5.634995470838913e-05,4406
48,-1.3592805279871251e-05,4406
49,-7.340151544141473e-05,4406
50,-0.0001558880992433587,4406
