k,correlation,beta
1,2.6261300137180058e-06,500
2,4.335644463969086e-07,500
3,-5.011914357691e-07,500
4,9.027981542458755e-08,500
5,6.833833966678234e-07,500
6,1.8940119395114193e-08,500
7,-1.3936965208570506e-07,500
8,2.422853677270086e-06,500
9,3.495966931283062e-07,500
10,-8.618253732373965e-07,500
11,9.192316802747516e-07,500
12,1.0881529561066049e-06,500
13,5.876717099561903e-07,500
14,-6.455681098114965e-07,500
15,1.1764491041446959e-07,500
16,4.0679001993904605e-07,500
17,-1.2288012359202116e-06,500
18,5.726882812384654e-07,500
19,5.21282710920912e-07,500
20,-1.5727408524122066e-07,500
21,8.680867902037684e-07,500
22,-6.661282151075078e-07,500
23,-3.862384465409037e-07,500
24,-1.007604485636752e-06,500
25,1.0749417403808915e-06,500
26,3.3128593977211895e-07,500
27,7.508074198491318e-07,500
28,-1.2561887736329028e-06,500
29,-5.271522656833049e-07,500
30,1.80091335669065e-06,500
31,-1.0458904062842265e-06,500
32,8.726321519203457e-07,500
33,3.493038188379531e-07,500
34,1.31334984522442e-07,500
35,1.2917910257959425e-07,500
36,4.518578714013815e-07,500
37,5.515499196470476e-08,500
38,1.3403996019723284e-06,500
39,1.72958555210689e-06,500
40,7.07464561008068e-07,500
41,1.3612782281871632e-06,500
42,-2.867872788614953e-07,500
43,-2.451080274096304e-06,500
44,-4.887707541481924e-07,500
45,2.5381005954375103e-06,500
46,-5.718261488725456e-08,500
47,1.0229058000276017e-06,500
48,9.86034267808131e-07,500
49,-1.0646358715755008e-06,500
50,-9.199618010249192e-07,500
