k,correlation,beta
1,0.0001027846003954,470
2,2.6872388505145453e-05,470
3,2.3409630117530774e-06,470
4,-2.393432510550071e-06,470
5,-2.7171184732856646e-06,470
6,-9.10461234748503e-07,470
7,-3.0141086867948405e-06,470
8,-5.265533582786052e-06,470
9,-1.4894024483362888e-07,470
10,-4.218292736513757e-07,470
11,-2.30930386546174e-06,470
12,-2.735239970284731e-07,470
13,1.5964927721991829e-06,470
14,5.493495841443996e-06,470
15,3.371594211845767e-06,470
16,2.778488316146557e-07,470
17,1.5891655602343983e-06,470
18,4.019762172767727e-06,470
19,-3.605058455242155e-06,470
20,-6.955210664612924e-07,470
21,-5.259467271732174e-07,470
22,-3.00427178546576e-06,470
23,-2.4655857361045024e-06,470
24,-1.8075861017620592e-06,470
25,1.3562409750337688e-06,470
26,-1.6247989226422456e-06,470
27,-5.165308765201466e-06,470
28,-1.2320202152074631e-06,470
29,-1.443160373367873e-06,470
30,-5.1673167039833085e-06,470
31,-5.257677826970905e-07,470
32,-4.833697137080704e-06,470
33,2.6855383239374607e-06,470
34,-8.454591655378353e-07,470
35,1.667398219842957e-06,470
36,4.901983934169856e-06,470
37,-5.784907745453869e-07,470
38,8.550503356562563e-07,470
39,6.821800370306756e-07,470
40,-1.0852967236491649e-07,470
41,5.3205894746761534e-06,470
42,-6.567484228096751e-06,470
43,-3.5483933667809987e-06,470
44,-6.389395061973215e-06,470
45,4.557347229195123e-06,470
46,-5.513863725017324e-07,470
47,1.2009810518115306e-06,470
48,2.4374930616743946e-06,470
49,7.012990262921075e-06,470
50,1.7788104796197846e-06,470
