k,correlation,beta
1,0.0011508317764478,400
2,0.000182995080548,400
3,5.452119137535671e-05,400
4,7.64792625322018e-06,400
5,4.21974762660194e-06,400
6,7.490001832108895e-06,400
7,-7.926854369315276e-05,400
8,3.247435289435105e-06,400
9,3.318518928293784e-05,400
10,-2.0960328429869846e-06,400
11,-5.638094354807413e-06,400
12,3.799186509798517e-05,400
13,-3.7537749059753227e-05,400
14,1.9238504558188563e-06,400
15,5.330253984391803e-05,400
16,-4.903466133847801e-05,400
17,4.794843241557672e-05,400
18,-2.415192547535676e-05,400
19,1.0870588189299132e-05,400
20,-3.240172097505472e-06,400
21,1.4034308047726325e-05,400
22,-5.619618522240705e-05,400
23,-9.710518192766896e-06,400
24,-2.950287113323616e-05,400
25,1.4058913367196046e-05,400
26,-3.129725713308897e-06,400
27,1.3295372457086492e-05,400
28,-2.066716312480518e-05,400
29,2.1313431890368576e-05,400
30,-3.171260067753496e-06,400
31,9.506944217672704e-06,400
32,8.519445476328046e-06,400
33,2.5444501299663715e-05,400
34,-5.940995895522424e-05,400
35,-1.9726204322121587e-05,400
36,-1.004610917447706e-05,400
37,2.122495236152982e-05,400
38,5.052723864138572e-05,400
39,4.888141119609521e-07,400
40,3.284771893304927e-06,400
41,2.8690948567678294e-05,400
42,-1.8900593370631064e-05,400
43,3.200039350770724e-05,400
44,-5.115357670705794e-06,400
45,5.922194463574954e-05,400
46,1.912457323978884e-05,400
47,1.1861255000839572e-05,400
48,-2.2042238626741305e-05,400
49,-3.2008284963118026e-05,400
50,4.3456045408188506e-05,400
