k,correlation,beta
1,6.629155914509675e-05,480
2,5.974857535439296e-06,480
3,7.679552034467879e-06,480
4,2.9230734783082054e-06,480
5,-1.3878894845921534e-06,480
6,-3.371680087575174e-06,480
7,-9.017094999095149e-06,480
8,6.248273915673033e-06,480
9,3.801767078849631e-06,480
10,1.4639802091366958e-06,480
11,5.720179888328631e-06,480
12,5.122712203544437e-06,480
13,2.040875758167087e-06,480
14,-1.9574296587837104e-06,480
15,1.5769170642713768e-06,480
16,-7.674004061655858e-06,480
17,-6.702748022371671e-06,480
18,-6.464744743109576e-07,480
19,-2.655233055259781e-06,480
20,4.930788653134644e-06,480
21,6.061654974242488e-06,480
22,4.3880915006345976e-06,480
23,-4.319025896094067e-06,480
24,7.540609026189442e-06,480
25,-6.363047999014615e-06,480
26,-2.386105846382236e-06,480
27,-6.603245967890513e-06,480
28,-8.821132333109727e-06,480
29,1.876693608595033e-06,480
30,-3.4668155625238567e-06,480
31,-1.0194220025815815e-05,480
32,6.7635168967831455e-06,480
33,4.860240483489932e-06,480
34,1.3225990428083775e-06,480
35,3.170125988524957e-06,480
36,-3.1027400886381416e-06,480
37,-6.740429188448962e-06,480
38,3.762353794764947e-07,480
39,-3.4950273657132425e-06,480
40,-1.4906379385324586e-06,480
41,3.6618880615471153e-06,480
42,2.125076030226655e-06,480
43,-3.768467434216576e-06,480
44,-3.1596763696018467e-06,480
45,-3.390649901164441e-06,480
46,2.200662303818476e-06,480
47,-6.775200158683597e-06,480
48,8.623695520825817e-06,480
49,1.501805760952794e-06,480
50,1.497924235446278e-06,480
