k,correlation,beta
1,0.0019720155400385,400
2,0.0001149928857039,400
3,-9.457190966795828e-05,400
4,-0.0001575116822948,400
5,-2.2918035926243385e-05,400
6,-8.702975472662693e-05,400
7,5.058902625361125e-05,400
8,0.0001637463102897,400
9,0.0001136148940484,400
10,0.000156572899801,400
11,-8.374969412422062e-06,400
12,4.801752982090189e-05,400
13,-2.423756728331336e-05,400
14,3.436794475581102e-05,400
15,8.468618573451579e-05,400
16,-0.0001538428482459,400
17,-2.790121023286253e-05,400
18,-0.0001038497438579,400
19,0.0001618325547645,400
20,-1.5827116641119404e-05,400
21,2.5898835808674525e-06,400
22,8.108658655747218e-05,400
23,-3.726963462442508e-05,400
24,0.0001396786604731,400
25,-0.0001020188186669,400
26,-7.695859131287044e-05,400
27,-4.3878754099625466e-05,400
28,-0.0003621845608699,400
29,0.0001781798804555,400
30,-5.720086984764171e-05,400
31,-7.532769262049167e-06,400
32,-0.0001328499043498,400
33,-0.000260983259613,400
34,-8.370912979837692e-05,400
35,-0.0001633599697605,400
36,-0.0002373309078948,400
37,-5.068354603694866e-05,400
38,-8.144555135131773e-05,400
39,-1.627395748211097e-05,400
40,0.0002010456318171,400
41,-0.0001298069164282,400
42,2.2636846486161224e-05,400
43,-0.0001280860881241,400
44,-8.614901839123458e-05,400
45,-0.0001449594030714,400
46,-5.3114079533506605e-05,400
47,0.0002387921673848,400
48,0.0001163740193585,400
49,-8.214285588697555e-05,400
50,5.0516228029529926e-05,400
