k,correlation,beta
1,0.02065789205448069,4406
2,0.0165813103052528,4406
3,0.013485858944048966,4406
4,0.011015608422891137,4406
5,0.008971924511648074,4406
6,0.0073317324974691315,4406
7,0.006030610101245595,4406
8,0.004849774216530876,4406
9,0.003921842632119167,4406
10,0.00320257945288768,4406
11,0.002587722438934957,4406
12,0.0021335053894811955,4406
13,0.001734694856785462,4406
14,0.0014201203168639881,4406
15,0.0011758276226518376,4406
16,0.0009988560859425727,4406
17,0.0008535128826689443,4406
18,0.0006591618926853405,4406
19,0.0005105412477149525,4406
20,0.00037981503738703843,4406
21,0.00023884317534102014,4406
22,0.00013646193146114993,4406
23,8.415352951004358e-05,4406
24,8.508464430109281e-05,4406
25,0.00012304523891760931,4406
26,0.00014710171886826915,4406
27,0.00019080302039621263,4406
28,0.0002294858629795017,4406
29,0.00020756952153077276,4406
30,0.00026247895976757603,4406
31,0.00030439420481989345,4406
32,0.00024025754582060767,4406
33,0.00022137405926788274,4406
34,0.00020780574733382027,4406
35,0.0001739206918251738,4406
36,0.00010339112990126901,4406
37,2.5647383463805065e-05,4406
38,-2.4913301802846972e-05,4406
39,-3.68365566370148e-05,4406
40,-1.876276341145359e-05,4406
41,-3.687829496999101e-05,4406
42,-0.0001380884548020405,4406
43,-0.0002053993724806662,4406
44,-0.0002623305682392686,4406
45,-0.0003067157821139983,4406
46,-0.00034086008875772736,4406
47,-0.00039058253296481686,4406
48,-0.000419254612727472,4406
49,-0.0004728245527001063,4406
50,-0.0004839844519505044,4406
