k,correlation,beta
1,0.0017485531876021,460
2,0.0003783470837072,460
3,7.750872276008356e-05,460
4,3.8064643172776777e-06,460
5,1.3719734438226744e-05,460
6,2.525391059144253e-05,460
7,-1.478319849178713e-05,460
8,4.529180881878237e-06,460
9,-1.319715598382961e-05,460
10,-3.4032017123701466e-05,460
11,7.877869567483592e-05,460
12,2.547026421781844e-05,460
13,3.378103450089767e-05,460
14,1.678115688867885e-05,460
15,-2.3068417292437555e-06,460
16,-2.840869998468169e-05,460
17,-3.2605762391988465e-05,460
18,-3.904122499508188e-05,460
19,-1.7021065669258593e-05,460
20,1.97071976480494e-05,460
21,3.407706954092279e-05,460
22,-3.553262457078561e-05,460
23,-3.513389052559432e-06,460
24,-6.788173471907901e-06,460
25,4.279214335336279e-05,460
26,1.238824416380826e-05,460
27,2.82866607546826e-06,460
28,4.764829372817011e-05,460
29,2.850887113135665e-05,460
30,-4.385102249772067e-05,460
31,-6.24449310442921e-05,460
32,1.4505968756312989e-06,460
33,9.702715313485671e-06,460
34,3.0200298553838045e-06,460
35,2.4559770937863803e-05,460
36,1.4329174631203405e-05,460
37,-1.6819342145231582e-06,460
38,3.975417767689748e-06,460
39,-2.1058680838788973e-05,460
40,-7.087224636150644e-05,460
41,-5.700554655174952e-05,460
42,-0.000108066418233,460
43,-7.829999353427754e-05,460
44,2.3374989708715878e-05,460
45,-9.556058850438364e-06,460
46,1.4871673456134772e-05,460
47,-2.695566052380017e-05,460
48,1.833057335465774e-05,460
49,6.251746390205881e-05,460
50,1.162089395185397e-07,460
