k,correlation,beta
1,0.0015269352538679,400
2,0.0001123962598257,400
3,7.301305273193545e-05,400
4,-1.5340953908623795e-05,400
5,4.731526503821376e-05,400
6,-3.5669654152607015e-05,400
7,5.7246226077898224e-05,400
8,5.077232036750636e-05,400
9,-1.4838277077316444e-05,400
10,8.516465522325868e-05,400
11,9.91155566431482e-05,400
12,9.134067543058844e-05,400
13,1.8329384990013397e-05,400
14,1.6339869822483043e-05,400
15,3.8894194218083575e-05,400
16,8.395833403594952e-05,400
17,6.532954060796308e-05,400
18,6.24629306418179e-05,400
19,3.288320439919436e-05,400
20,3.717162032266556e-05,400
21,-2.9839727550005685e-05,400
22,4.838602567729621e-05,400
23,1.1143504698158017e-05,400
24,4.780529932747068e-05,400
25,-4.040046786840471e-05,400
26,-1.563320560477715e-05,400
27,2.936654934379629e-06,400
28,3.193194430707099e-05,400
29,3.3053322655727904e-05,400
30,-3.052486038521532e-05,400
31,7.602403151872558e-05,400
32,3.9473225348684354e-05,400
33,1.7104805527201458e-05,400
34,2.1716774695203448e-05,400
35,-2.499122220405982e-07,400
36,1.880761828775143e-05,400
37,7.289137147178919e-05,400
38,-4.536252736624651e-05,400
39,-2.707635089664213e-05,400
40,1.7737618278573643e-05,400
41,8.851140311790733e-05,400
42,1.2051920647544196e-05,400
43,3.9493423708497e-05,400
44,4.275227642460964e-05,400
45,-9.423500074129584e-05,400
46,-7.026286012775332e-05,400
47,-6.61476802354382e-05,400
48,-5.201413618691773e-05,400
49,-2.5330432198519584e-05,400
50,4.2632228034266445e-05,400
