k,correlation,beta
1,0.0008570551151885,460
2,0.0004154093009745,460
3,0.0002246965584964,460
4,0.0001570708698544,460
5,8.811529496994759e-05,460
6,6.868029633101829e-05,460
7,4.977510983459151e-05,460
8,1.8657745078924334e-05,460
9,6.41453463047469e-06,460
10,4.339467162738948e-06,460
11,1.5659354372418373e-05,460
12,1.1235193445940654e-05,460
13,7.665877264811391e-06,460
14,-1.364510201996526e-06,460
15,8.5522772596855e-06,460
16,1.7756988954594933e-06,460
17,-1.0662186610047592e-05,460
18,4.972490018544119e-06,460
19,6.245901320881373e-06,460
20,-1.2443764319909884e-06,460
21,1.4668237024235438e-05,460
22,3.793914463682071e-06,460
23,-6.299191934230172e-06,460
24,-1.048627248556703e-05,460
25,-1.3884164784576791e-05,460
26,-2.241475568363742e-06,460
27,-1.3430441450242613e-05,460
28,-1.5730122806147142e-05,460
29,-3.1204231945730515e-06,460
30,-2.593056143536283e-05,460
31,-7.821886787546296e-06,460
32,-1.0230477558045995e-05,460
33,-5.770089200373695e-06,460
34,-4.000718447169672e-06,460
35,-4.542808132079086e-06,460
36,-6.724259943522849e-06,460
37,-7.821361535671743e-06,460
38,-5.651598958968129e-06,460
39,7.428668085354456e-06,460
40,-2.524708841320633e-06,460
41,1.772253383600336e-05,460
42,8.466444215491012e-06,460
43,-2.7919231387393736e-06,460
44,1.7663751463143714e-06,460
45,-1.926627637320307e-05,460
46,3.1289677418659068e-06,460
47,-1.3263447061624487e-05,460
48,-2.427582574351641e-06,460
49,9.504482289645731e-06,460
50,1.987313388768169e-05,460
